日付,体重,食品名
2020-10-01,61.96,うどん
2020-10-02,57.66,カップヌードル
2020-10-03,60.87,フライドポテト
2020-10-04,,うどん
2020-10-05,59.45,焼き魚
2020-10-06,60.47,うどん
2020-10-07,58.37,ほうれん草のおひたし
2020-10-08,59.06,ピーマン炒め
2020-10-09,60.02,うどん
2020-10-10,, 焼肉
2020-10-11,61.98,うどん
2020-10-12,57.33,切り干し大根
2020-10-13,60.98, 焼肉
2020-10-14,60.09,
2020-10-15,60.76,うどん
2020-10-16,59.04,ほうれん草のおひたし
2020-10-17,59.42, 焼肉
2020-10-18,60.08,ハンバーグ
2020-10-19,59.13,切り干し大根
2020-10-20,60.57,フライドポテト
2020-10-21,58.32,ほうれん草のおひたし
2020-10-22,57.42,焼き魚
2020-10-23,,焼き魚
2020-10-24,59.7,ハンバーグ
2020-10-25,57.6,切り干し大根
2020-10-26,61.43, 焼肉
2020-10-27,58.76,うどん
2020-10-28,61.31,
2020-10-29,59.94,ほうれん草のおひたし
2020-10-30,61.82,うどん
2020-10-31,61.18,フライドポテト
