日付,体重,食品名
2020-10-01,57.63,
2020-10-02,61.36,うどん
2020-10-03,61.84,フライドポテト
2020-10-04,,フライドポテト
2020-10-05,59.07, 焼肉
2020-10-06,57.79,ピーマン炒め
2020-10-07,60.42,
2020-10-08,60.3,チャーハン
2020-10-09,58.91,焼き魚
2020-10-10,60.34,ほうれん草のおひたし
2020-10-11,57.24,フライドポテト
2020-10-12,,カップヌードル
2020-10-13,59.04,チャーハン
2020-10-14,60.2,フライドポテト
2020-10-15,59.24,うどん
2020-10-16,60.58,チャーハン
2020-10-17,57.95,チャーハン
2020-10-18,61.31,
2020-10-19,59.59,チャーハン
2020-10-20,58.19,うどん
2020-10-21,,ほうれん草のおひたし
2020-10-22,58.58,ハンバーグ
2020-10-23,60.86,ハンバーグ
2020-10-24,58.68,チャーハン
2020-10-25,59,焼き魚
2020-10-26,59.07,ピーマン炒め
2020-10-27,61.4,切り干し大根
2020-10-28,58.11,
2020-10-29,60.79,うどん
2020-10-30,58.61,うどん
2020-10-31,61.79, 焼肉
